"Sample Name"	"Protocol REF"	"Parameter Value[number of acquisition]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[frequency]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[frequency]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[probe]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[spinning frequency]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Protocol REF"	"NMR Assay Name"	"Free Induction Decay Data File"	"Protocol REF"	"Data Transformation Name"	"Derived Data File"	"Factor Value[strain]"	"Term Source REF"	"Term Accession Number"	"Factor Value[compound]"	"Term Source REF"	"Term Accession Number"	"Factor Value[time]"	"Unit"	"Term Source REF"	"Term Accession Number"
""	"P-BMAP-7"	"128"	"tesla"	"UO"	"228"	"6.0E8"	"hertz"	"UO"	"106"	"14.1"	"count"	"UO"	"189"	"5 mm inverse geometry 1H/broadband probe"	""	""	""	"hertz"	"UO"	"106"	"ro.Group-8.Subject-1.BTO:liver.E2"	"P-BMAP-8"	"ro.Group-8.Subject-1.BTO:liver.E2-assay1"	"JGOAd1wOA1.TX_1_1"	"P-BMAP-10"	"Bucketing"	"BII-S-6-bucketed-allex.txt"	"wistar"	""	""	"orotic acid"	"CHEBI"	" CHEBI:16742 "	"1"	"day"	"UO"	"33"
""	"P-BMAP-7"	"128"	"tesla"	"UO"	"228"	"6.0E8"	"hertz"	"UO"	"106"	"14.1"	"count"	"UO"	"189"	"5 mm inverse geometry 1H/broadband probe"	""	""	""	"hertz"	"UO"	"106"	"ro.Group-8.Subject-2.BTO:liver.E2"	"P-BMAP-8"	"ro.Group-8.Subject-2.BTO:liver.E2-assay1"	"JGOAd1wOA2.TX_1_1"	"P-BMAP-10"	"Bucketing"	"BII-S-6-bucketed-allex.txt"	"wistar"	""	""	"orotic acid"	"CHEBI"	" CHEBI:16742 "	"1"	"day"	"UO"	"33"
""	"P-BMAP-7"	"128"	"tesla"	"UO"	"228"	"6.0E8"	"hertz"	"UO"	"106"	"14.1"	"count"	"UO"	"189"	"5 mm inverse geometry 1H/broadband probe"	""	""	""	"hertz"	"UO"	"106"	"ro.Group-8.Subject-3.BTO:liver.E2"	"P-BMAP-8"	"ro.Group-8.Subject-3.BTO:liver.E2-assay1"	"JGOAd1wOA3.TX_1_1"	"P-BMAP-10"	"Bucketing"	"BII-S-6-bucketed-allex.txt"	"wistar"	""	""	"orotic acid"	"CHEBI"	" CHEBI:16742 "	"1"	"day"	"UO"	"33"
""	"P-BMAP-7"	"128"	"tesla"	"UO"	"228"	"6.0E8"	"hertz"	"UO"	"106"	"14.1"	"count"	"UO"	"189"	"5 mm inverse geometry 1H/broadband probe"	""	""	""	"hertz"	"UO"	"106"	"ro.Group-1.Subject-1.BTO:liver.E2"	"P-BMAP-8"	"ro.Group-1.Subject-1.BTO:liver.E2-assay1"	"JGOAd1kOA1.TX_1_1"	"P-BMAP-10"	"Bucketing"	"BII-S-6-bucketed-allex.txt"	"kyoto"	""	""	"orotic acid"	"CHEBI"	" CHEBI:16742 "	"1"	"day"	"UO"	"33"
""	"P-BMAP-7"	"128"	"tesla"	"UO"	"228"	"6.0E8"	"hertz"	"UO"	"106"	"14.1"	"count"	"UO"	"189"	"5 mm inverse geometry 1H/broadband probe"	""	""	""	"hertz"	"UO"	"106"	"ro.Group-1.Subject-2.BTO:liver.E2"	"P-BMAP-8"	"ro.Group-1.Subject-2.BTO:liver.E2-assay1"	"JGOAk1d3.BBI_1_1"	"P-BMAP-10"	"Bucketing"	"BII-S-6-bucketed-allex.txt"	"kyoto"	""	""	"orotic acid"	"CHEBI"	" CHEBI:16742 "	"1"	"day"	"UO"	"33"
""	"P-BMAP-7"	"128"	"tesla"	"UO"	"228"	"6.0E8"	"hertz"	"UO"	"106"	"14.1"	"count"	"UO"	"189"	"5 mm inverse geometry 1H/broadband probe"	""	""	""	"hertz"	"UO"	"106"	"ro.Group-1.Subject-3.BTO:liver.E2"	"P-BMAP-8"	"ro.Group-1.Subject-3.BTO:liver.E2-assay1"	"JGOAd1kOA2.TX_1_1"	"P-BMAP-10"	"Bucketing"	"BII-S-6-bucketed-allex.txt"	"kyoto"	""	""	"orotic acid"	"CHEBI"	" CHEBI:16742 "	"1"	"day"	"UO"	"33"
""	"P-BMAP-7"	"128"	"tesla"	"UO"	"228"	"6.0E8"	"hertz"	"UO"	"106"	"14.1"	"count"	"UO"	"189"	"5 mm inverse geometry 1H/broadband probe"	""	""	""	"hertz"	"UO"	"106"	"ro.Group-12.Subject-1.BTO:liver.E2"	"P-BMAP-8"	"ro.Group-12.Subject-1.BTO:liver.E2-assay1"	"JGOAd3woa1.TX_1_1"	"P-BMAP-10"	"Bucketing"	"BII-S-6-bucketed-allex.txt"	"wistar"	""	""	"orotic acid"	"CHEBI"	" CHEBI:16742 "	"3"	"day"	"UO"	"33"
""	"P-BMAP-7"	"128"	"tesla"	"UO"	"228"	"6.0E8"	"hertz"	"UO"	"106"	"14.1"	"count"	"UO"	"189"	"5 mm inverse geometry 1H/broadband probe"	""	""	""	"hertz"	"UO"	"106"	"ro.Group-12.Subject-2.BTO:liver.E2"	"P-BMAP-8"	"ro.Group-12.Subject-2.BTO:liver.E2-assay1"	"JGOAd3woa2.TX_1_1"	"P-BMAP-10"	"Bucketing"	"BII-S-6-bucketed-allex.txt"	"wistar"	""	""	"orotic acid"	"CHEBI"	" CHEBI:16742 "	"3"	"day"	"UO"	"33"
""	"P-BMAP-7"	"128"	"tesla"	"UO"	"228"	"6.0E8"	"hertz"	"UO"	"106"	"14.1"	"count"	"UO"	"189"	"5 mm inverse geometry 1H/broadband probe"	""	""	""	"hertz"	"UO"	"106"	"ro.Group-12.Subject-3.BTO:liver.E2"	"P-BMAP-8"	"ro.Group-12.Subject-3.BTO:liver.E2-assay1"	"JGOAd3woa3.TX_1_1"	"P-BMAP-10"	"Bucketing"	"BII-S-6-bucketed-allex.txt"	"wistar"	""	""	"orotic acid"	"CHEBI"	" CHEBI:16742 "	"3"	"day"	"UO"	"33"
""	"P-BMAP-7"	"128"	"tesla"	"UO"	"228"	"6.0E8"	"hertz"	"UO"	"106"	"14.1"	"count"	"UO"	"189"	"5 mm inverse geometry 1H/broadband probe"	""	""	""	"hertz"	"UO"	"106"	"ro.Group-2.Subject-1.BTO:liver.E2"	"P-BMAP-8"	"ro.Group-2.Subject-1.BTO:liver.E2-assay1"	"JGOAd3kOA1.TXI_1_1"	"P-BMAP-10"	"Bucketing"	"BII-S-6-bucketed-allex.txt"	"kyoto"	""	""	"orotic acid"	"CHEBI"	" CHEBI:16742 "	"3"	"day"	"UO"	"33"
